epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4478.62,0.0657,0.31239,0.8958,0.92866,0.83668,0.91625,0.91482,0.12153,0.63681,0.32614,0.00485566,0.00485566,0.00485566
43,4589.13,0.0649,0.30359,0.8963,0.93106,0.8331,0.91688,0.91561,0.1101,0.62842,0.31894,0.00466163,0.00466163,0.00466163
44,4700,0.06217,0.30558,0.89455,0.92238,0.83283,0.91517,0.91443,0.0743,0.59257,0.27578,0.00446819,0.00446819,0.00446819
45,4811.02,0.06108,0.2987,0.89301,0.92071,0.8303,0.91211,0.9106,0.10734,0.66997,0.31139,0.00427565,0.00427565,0.00427565
46,4922.08,0.06175,0.29449,0.89378,0.9239,0.83087,0.90973,0.90862,0.12623,0.69189,0.32523,0.0040843,0.0040843,0.0040843
47,5033.26,0.05916,0.2925,0.89274,0.92361,0.83958,0.91398,0.91303,0.09847,0.61454,0.29019,0.00389445,0.00389445,0.00389445
48,5144.56,0.05851,0.28151,0.89063,0.91881,0.84671,0.91443,0.91358,0.09481,0.60175,0.28634,0.00370637,0.00370637,0.00370637
49,5255.59,0.05662,0.27827,0.89284,0.9251,0.84328,0.91714,0.91649,0.0877,0.58656,0.28094,0.00352037,0.00352037,0.00352037
50,5365.39,0.05593,0.27389,0.8916,0.92354,0.84627,0.91782,0.91698,0.09353,0.60092,0.28994,0.00333672,0.00333672,0.00333672
51,5472.89,0.0534,0.26777,0.89417,0.92576,0.84566,0.9172,0.91622,0.10357,0.60576,0.30205,0.00315572,0.00315572,0.00315572
52,5578.7,0.05253,0.26537,0.88965,0.92146,0.84741,0.91864,0.91807,0.11194,0.60124,0.31098,0.00297763,0.00297763,0.00297763
53,5685.25,inf,0.25961,0.89068,0.92104,0.84854,0.92232,0.92154,0.11583,0.59672,0.31324,0.00280275,0.00280275,0.00280275
54,5790.71,0.04911,0.25485,0.88986,0.92007,0.84904,0.92245,0.92179,0.11127,0.59352,0.31159,0.00263132,0.00263132,0.00263132
55,5899.62,0.04963,0.25281,0.88985,0.91967,0.84725,0.92052,0.91991,0.10821,0.59716,0.31117,0.00246363,0.00246363,0.00246363
56,6009.79,inf,0.24549,0.89029,0.92292,0.84828,0.92228,0.92139,0.10559,0.58894,0.30734,0.00229993,0.00229993,0.00229993
57,6120.22,0.04798,0.24039,0.89194,0.9262,0.84942,0.92091,0.92003,0.10463,0.59458,0.30753,0.00214046,0.00214046,0.00214046
58,6230.32,inf,0.24405,0.8905,0.92822,0.84436,0.92153,0.92063,0.0975,0.59149,0.30355,0.00198548,0.00198548,0.00198548
59,6340.14,0.04611,0.23074,0.89051,0.92955,0.8428,0.91962,0.91891,0.09579,0.59798,0.30053,0.00183523,0.00183523,0.00183523
60,6450.3,inf,0.23189,0.88922,0.93071,0.84543,0.92108,0.9205,0.0982,0.58792,0.30249,0.00168994,0.00168994,0.00168994
61,6560.88,0.04329,0.22761,0.8883,0.92926,0.84571,0.9191,0.91852,0.09817,0.58784,0.30107,0.00154982,0.00154982,0.00154982
